attack_type,attack_rate,accuracy,f1,train_size,confusion_matrix
baseline,0.0,0.84,0.84,500,"[[105, 24], [16, 105]]"
baseline,0.0,0.82,0.8207171314741036,500,"[[102, 27], [18, 103]]"
